seed,stable_row_id,dev_position,analysis_view,gold_final_label,intervention_type,joint_selected_epoch,intervention_selected_epoch,joint_final_class_or_pattern,intervention_final_class_or_pattern,joint_tail3_status,intervention_tail3_status,paired_transition_class,propagation_category,first_blocker,joint_frame_value,intervention_frame_value,paired_frame_delta,joint_predicate_value,intervention_predicate_value,paired_predicate_delta,joint_sufficiency_value,intervention_sufficiency_value,paired_sufficiency_delta,joint_polarity_value,intervention_polarity_value,paired_polarity_delta,joint_entitlement_value,intervention_entitlement_value,paired_entitlement_delta,joint_support_vs_not_entitled_margin_value,intervention_support_vs_not_entitled_margin_value,paired_support_vs_not_entitled_margin_delta,joint_support_probability_value,intervention_support_probability_value,paired_support_probability_delta,joint_not_entitled_probability_value,intervention_not_entitled_probability_value,paired_not_entitled_probability_delta,frame_joint_pass,predicate_joint_pass,sufficiency_joint_pass,polarity_joint_pass,entitlement_joint_pass,frame_intervention_pass,predicate_intervention_pass,sufficiency_intervention_pass,polarity_intervention_pass,entitlement_intervention_pass,frame_threshold_crossing,predicate_threshold_crossing,sufficiency_threshold_crossing,polarity_threshold_crossing,entitlement_threshold_crossing,in_stage196a_baseline_recurrent,in_stage196a_intervention_recurrent,in_stage196a_common_recurrent,in_stage196a_universal_all_six
183,orion_approval__none,0,selected,SUPPORT,none,20,20,NOT_ENTITLED,NOT_ENTITLED,PERSISTENT_NOT_ENTITLED,UNSTABLE,OTHER_TRANSITION,,,0.28702494502067566,0.2593654990196228,-0.027659446001052856,0.22373764216899872,0.273994117975235,0.05025647580623627,0.9931862354278564,0.9912856221199036,-0.0019006133079528809,3.4003708362579346,3.484471559524536,0.08410072326660156,0.06378071755170822,0.07044533640146255,0.0066646188497543335,-0.7427145689725876,-0.701652854681015,0.04106171429157257,0.25597307085990906,0.26319772005081177,0.00722464919090271,0.5379614233970642,0.5308918952941895,-0.007069528102874756,false,false,true,true,false,false,false,true,true,false,FAIL_TO_FAIL,FAIL_TO_FAIL,PASS_TO_PASS,PASS_TO_PASS,FAIL_TO_FAIL,false,false,false,false
183,orion_approval__none,0,tail3,SUPPORT,none,20,20,"[""NOT_ENTITLED"",""NOT_ENTITLED"",""NOT_ENTITLED""]","[""SUPPORT"",""NOT_ENTITLED"",""NOT_ENTITLED""]",PERSISTENT_NOT_ENTITLED,UNSTABLE,OTHER_TRANSITION,FRAME_REMAINS_SUBTHRESHOLD,FRAME_REMAINS_SUBTHRESHOLD,0.32234617074330646,0.38448719183603924,0.062141021092732784,0.2979400207599004,0.4081497887770335,0.11020976801713311,0.9932186206181844,0.9924397667249044,-0.0007788538932800293,3.4061502615610757,3.5247881412506104,0.11863787968953465,0.09791264683008194,0.1663715268174807,0.06845887998739877,-0.5803882131973902,-0.2239377200603485,0.3564504931370417,0.28646424412727356,0.36048149069150287,0.07401724656422931,0.5096065004666647,0.4448417325814565,-0.06476476788520819,false,false,true,true,false,false,false,true,true,false,FAIL_TO_FAIL,FAIL_TO_FAIL,PASS_TO_PASS,PASS_TO_PASS,FAIL_TO_FAIL,false,false,false,false
183,orion_approval__paraphrase,1,selected,SUPPORT,paraphrase,20,20,NOT_ENTITLED,REFUTE,PERSISTENT_NOT_ENTITLED,PERSISTENT_REFUTE,OTHER_TRANSITION,POLARITY_BLOCKED,POLARITY_BLOCKED,0.18847328424453735,0.9575425386428833,0.769069254398346,0.3566795885562897,0.7548435926437378,0.3981640040874481,0.9901854991912842,0.9874200224876404,-0.002765476703643799,3.249748945236206,-0.036832571029663086,-3.286581516265869,0.06656479835510254,0.7137020826339722,0.6471372842788696,-0.7394780367612839,1.0969280302524567,1.8364060670137405,0.25638920068740845,0.4236334562301636,0.16724425554275513,0.5370948314666748,0.1414491981267929,-0.3956456333398819,false,false,true,true,false,true,true,true,false,true,FAIL_TO_PASS,FAIL_TO_PASS,PASS_TO_PASS,PASS_TO_FAIL,FAIL_TO_PASS,false,false,false,false
183,orion_approval__paraphrase,1,tail3,SUPPORT,paraphrase,20,20,"[""NOT_ENTITLED"",""NOT_ENTITLED"",""NOT_ENTITLED""]","[""REFUTE"",""REFUTE"",""REFUTE""]",PERSISTENT_NOT_ENTITLED,PERSISTENT_REFUTE,OTHER_TRANSITION,POLARITY_BLOCKED,POLARITY_BLOCKED,0.262247030933698,0.9587416251500448,0.6964945942163467,0.4753429690996806,0.8562885324160258,0.38094556331634516,0.9910436471303304,0.9743443926175436,-0.016699254512786865,3.2080159187316895,-1.1315248012542725,-4.339540719985962,0.1317488451798757,0.7988637089729309,0.6671148637930552,-0.4405834823846817,0.9300838162501653,1.3706672986348472,0.31411919991175336,0.2810552790760994,-0.03306392083565396,0.482883483171463,0.09684695800145467,-0.38603652517000836,false,false,true,true,false,true,true,true,false,true,FAIL_TO_PASS,FAIL_TO_PASS,PASS_TO_PASS,PASS_TO_FAIL,FAIL_TO_PASS,false,false,false,false
183,orion_approval__entity_swap,2,selected,NOT_ENTITLED,entity_swap,20,20,NOT_ENTITLED,NOT_ENTITLED,PERSISTENT_NOT_ENTITLED,UNSTABLE,OTHER_TRANSITION,,,0.13749605417251587,0.25250616669654846,0.11501011252403259,0.05955047905445099,0.20559163391590118,0.1460411548614502,0.98841792345047,0.9897186756134033,0.0013007521629333496,3.045933961868286,3.4474775791168213,0.40154361724853516,0.008093122392892838,0.05137941986322403,0.04328629747033119,-0.9989833626896143,-0.7932781279087067,0.20570523478090763,0.21316643059253693,0.24701711535453796,0.03385068476200104,0.5788576602935791,0.5460637211799622,-0.03279393911361694,false,false,true,true,false,false,false,true,true,false,FAIL_TO_FAIL,FAIL_TO_FAIL,PASS_TO_PASS,PASS_TO_PASS,FAIL_TO_FAIL,false,false,false,false
183,orion_approval__entity_swap,2,tail3,NOT_ENTITLED,entity_swap,20,20,"[""NOT_ENTITLED"",""NOT_ENTITLED"",""NOT_ENTITLED""]","[""SUPPORT"",""NOT_ENTITLED"",""NOT_ENTITLED""]",PERSISTENT_NOT_ENTITLED,UNSTABLE,OTHER_TRANSITION,,,0.19217436015605927,0.38755075136820477,0.1953763912121455,0.10644433895746867,0.3449130306641261,0.2384686917066574,0.9902265866597494,0.9912538727124532,0.0010272860527038574,3.114903529485067,3.482384999593099,0.3674814701080322,0.022610663746794064,0.14454822490612665,0.12193756115933259,-0.9329254509260257,-0.3327285349369049,0.6001969159891208,0.223758598168691,0.3380771080652873,0.11431850989659628,0.5681667923927307,0.463793804248174,-0.1043729881445567,false,false,true,true,false,false,false,true,true,false,FAIL_TO_FAIL,FAIL_TO_FAIL,PASS_TO_PASS,PASS_TO_PASS,FAIL_TO_FAIL,false,false,false,false
183,orion_approval__event_swap,3,selected,NOT_ENTITLED,event_swap,20,20,NOT_ENTITLED,NOT_ENTITLED,PERSISTENT_NOT_ENTITLED,UNSTABLE,OTHER_TRANSITION,,,0.2229970544576645,0.21252310276031494,-0.010473951697349548,0.17811834812164307,0.25665581226348877,0.0785374641418457,0.9925025701522827,0.9908910393714905,-0.0016115307807922363,3.346449613571167,3.482057571411133,0.13560795783996582,0.03942207247018814,0.05404844135046005,0.014626368880271912,-0.8560695350170135,-0.7792529463768005,0.07681658864021301,0.23638994991779327,0.24948278069496155,0.013092830777168274,0.5564361214637756,0.5438333749771118,-0.012602746486663818,false,false,true,true,false,false,false,true,true,false,FAIL_TO_FAIL,FAIL_TO_FAIL,PASS_TO_PASS,PASS_TO_PASS,FAIL_TO_FAIL,false,false,false,false
183,orion_approval__event_swap,3,tail3,NOT_ENTITLED,event_swap,20,20,"[""NOT_ENTITLED"",""NOT_ENTITLED"",""NOT_ENTITLED""]","[""SUPPORT"",""NOT_ENTITLED"",""NOT_ENTITLED""]",PERSISTENT_NOT_ENTITLED,UNSTABLE,OTHER_TRANSITION,,,0.26093249022960663,0.33108896017074585,0.07015646994113922,0.2483833283185959,0.3825974067052205,0.13421407838662464,0.9926841855049133,0.9921715458234152,-0.0005126396814981726,3.371583938598633,3.5269341468811035,0.1553502082824707,0.06679041683673859,0.13546698788801828,0.0686765710512797,-0.7267151772975922,-0.3750454882780711,0.35166968901952106,0.25932962199052173,0.32902247707049054,0.06969285507996881,0.5346299409866333,0.47205496827761334,-0.06257497270901996,false,false,true,true,false,false,false,true,true,false,FAIL_TO_FAIL,FAIL_TO_FAIL,PASS_TO_PASS,PASS_TO_PASS,FAIL_TO_FAIL,false,false,false,false
183,orion_approval__location_swap,4,selected,NOT_ENTITLED,location_swap,20,20,NOT_ENTITLED,NOT_ENTITLED,UNSTABLE,UNSTABLE,OTHER_TRANSITION,,,0.36211279034614563,0.351122111082077,-0.010990679264068604,0.31963926553726196,0.32828062772750854,0.008641362190246582,0.9935937523841858,0.9925049543380737,-0.0010887980461120605,3.456789970397949,3.452143669128418,-0.00464630126953125,0.11500397324562073,0.1144026592373848,-0.0006013140082359314,-0.5015875995159149,-0.4961825907230377,0.005405008792877197,0.30090492963790894,0.30155327916145325,0.0006483495235443115,0.4968966245651245,0.49528297781944275,-0.0016136467456817627,false,false,true,true,false,false,false,true,true,false,FAIL_TO_FAIL,FAIL_TO_FAIL,PASS_TO_PASS,PASS_TO_PASS,FAIL_TO_FAIL,false,false,false,false
183,orion_approval__location_swap,4,tail3,NOT_ENTITLED,location_swap,20,20,"[""SUPPORT"",""NOT_ENTITLED"",""NOT_ENTITLED""]","[""SUPPORT"",""SUPPORT"",""NOT_ENTITLED""]",UNSTABLE,UNSTABLE,OTHER_TRANSITION,,,0.4048476417859395,0.47853800654411316,0.07369036475817364,0.39616841077804565,0.4741153120994568,0.07794690132141113,0.9935594201087952,0.9933315714200338,-0.00022784868876135622,3.440394322077433,3.4740184942881265,0.03362417221069336,0.1624066879351934,0.2366539960106214,0.07424730807542801,-0.27403401335080463,0.11285407344500224,0.3868880867958069,0.34766526023546857,0.4315122564633687,0.08384699622790015,0.4551237424214681,0.3845458924770355,-0.07057784994443256,false,false,true,true,false,false,false,true,true,false,FAIL_TO_FAIL,FAIL_TO_FAIL,PASS_TO_PASS,PASS_TO_PASS,FAIL_TO_FAIL,false,false,false,false
