seed,epoch,is_tail3_epoch,joint_selected_epoch,intervention_selected_epoch,is_joint_selected_epoch,is_intervention_selected_epoch,mean_delta_frame_gold_support,mean_delta_predicate_gold_support,mean_delta_sufficiency_gold_support,mean_delta_polarity_gold_support,mean_delta_entitlement_gold_support,mean_delta_support_vs_ne_margin_gold_support,frame_fail_to_pass_count,frame_pass_to_fail_count,support_rescue_count,support_harm_count,false_not_entitled_delta,false_entitlement_delta,common_recurrent_frame_delta,common_recurrent_entitlement_delta,common_recurrent_support_vs_ne_margin_delta
183,1,false,20,20,false,false,-0.15812906170828958,-0.04183244705200195,-0.03098896581135439,0.2567437913980377,-0.15156672702411586,-0.32714218102144393,0,0,0,5,5,-30,-0.17007406291208768,-0.1606897425494696,-0.3341033482237866
183,2,false,20,20,false,false,0.6321235928642616,0.05932836854056026,0.01025444068265765,0.11219257451175305,0.4765056743380729,1.1476030204068408,89,0,0,0,-89,360,0.6281561200556002,0.47676098778059606,1.1468332425544137
183,3,false,20,20,false,false,0.35774501722850155,0.12673305326633238,0.051906901129176106,-1.0630042003781608,0.24520935360970122,0.5438934798990742,77,0,54,0,-83,328,0.3643854950603686,0.24240935476202713,0.5512306266709378
183,4,false,20,20,false,false,-0.18294228395719206,-0.017371414082773616,-0.0026322328642512977,0.5932784937740712,-0.06512111375171147,-0.19666902938585604,0,70,0,0,1,0,-0.1705722008880816,-0.0599999329761455,-0.18025204460871846
183,5,false,20,20,false,false,-0.19801911510778278,0.007302997152457077,-0.0734750728928641,-0.22914911789840528,-0.07098030922620484,-0.2578930746805802,0,44,0,0,1,0,-0.15995269543246218,-0.053901221603155136,-0.20316053574022494
183,6,false,20,20,false,false,0.02785391402378511,0.023859050836455956,-0.05988529826817888,-1.2485486456517423,0.0067648845777082975,-0.049372340521115936,0,3,0,0,1,0,0.06427833908482601,0.025420591039092916,0.02961541320148267
183,7,false,20,20,false,false,0.1264291691981005,-0.018571308824453462,-0.011728813139240393,-0.34671410817778514,0.05650753686937054,0.265704172045997,6,0,11,1,-8,3,0.18092766561006246,0.09162197497330214,0.37297792105298294
183,8,false,20,20,false,false,0.12486898647935203,0.0010539443975084283,-0.0014318522442592664,-1.378017513939504,0.07344306988662548,0.2210098034545277,44,0,32,23,-45,222,0.22090281153980054,0.1422982694287049,0.43039986804911967
183,9,false,20,20,false,false,0.2505625118030591,0.04144267386265015,0.0014744441160994969,-1.4390589400623621,0.16812423499447576,0.5908688502700141,65,0,57,6,-57,254,0.35068030812238393,0.23055639941441386,0.8649036311789563
183,10,false,20,20,false,false,0.3000894134466568,0.027173543579122994,0.0035147445925166098,-0.28398449233408724,0.1501247709972805,0.6813919698254446,72,0,58,0,-57,213,0.38965065110670893,0.18657639701115458,0.8201811846933866
183,11,false,20,20,false,false,0.1635056220078736,-0.07055957481432497,0.003251383143864321,-0.04442720600728239,0.015699265420102002,0.1401741322171822,54,0,6,0,-4,25,0.28006845006817266,0.07753038269124533,0.3452511767023488
183,12,false,20,20,false,false,0.024067091807890476,-0.1463172651743621,0.002851806329877189,-0.6225813158442465,-0.08218879608458347,-0.3647131171454205,15,6,0,27,26,-40,0.1434581922857385,-0.004888133194885756,-0.036197782347076816
183,13,false,20,20,false,false,0.0208760371034065,-0.06705371985274754,0.00260970163881109,-0.9278873205184937,-0.024425175836247006,-0.19977783646141545,4,2,0,14,8,-10,0.10360565389457502,0.007748760479061227,0.04445276134892514
183,14,false,20,20,false,false,-0.11432895315497109,-0.09791638526353943,0.001987127775556586,-0.22993718238359087,-0.08636740436044972,-0.41118563594443075,1,18,0,17,14,-28,-0.03388996030154981,-0.039432703076224575,-0.15506162298353096
