seed,recurrent_set,stable_row_id,dev_position,intervention_type,selected_joint_frame,selected_intervention_frame,selected_frame_delta,selected_propagation_category,tail3_joint_frame,tail3_intervention_frame,tail3_frame_delta,tail3_joint_status,tail3_intervention_status,tail3_propagation_category
183,stage196a_baseline_recurrent,satellite_launch__none,24,none,0.32152050733566284,0.2624741494655609,-0.05904635787010193,,0.31923991441726685,0.39000681042671204,0.07076689600944519,PERSISTENT_NOT_ENTITLED,PERSISTENT_NOT_ENTITLED,FRAME_REMAINS_SUBTHRESHOLD
183,stage196a_baseline_recurrent,satellite_launch__paraphrase,25,paraphrase,0.35092273354530334,0.6801531910896301,0.3292304575443268,PREDICATE_BLOCKED,0.361735204855601,0.7414296269416809,0.3796944220860799,PERSISTENT_NOT_ENTITLED,UNSTABLE,PREDICATE_BLOCKED
183,stage196a_baseline_recurrent,generated_fact_039__none,72,none,0.21069014072418213,0.09154031425714493,-0.1191498264670372,,0.20926640431086221,0.16350543250640234,-0.04576097180445987,PERSISTENT_NOT_ENTITLED,PERSISTENT_NOT_ENTITLED,
183,stage196a_baseline_recurrent,generated_fact_073__none,108,none,0.3117595613002777,0.14579744637012482,-0.1659621149301529,,0.32135043541590375,0.25463705758253735,-0.0667133778333664,PERSISTENT_NOT_ENTITLED,PERSISTENT_NOT_ENTITLED,
183,stage196a_baseline_recurrent,generated_fact_078__none,132,none,0.4026079773902893,0.1211097240447998,-0.2814982533454895,,0.3667498330275218,0.21902072926362356,-0.14772910376389822,PERSISTENT_NOT_ENTITLED,PERSISTENT_NOT_ENTITLED,
183,stage196a_baseline_recurrent,generated_fact_086__none,168,none,0.4368119239807129,0.176923006772995,-0.2598889172077179,,0.417229562997818,0.26610496640205383,-0.15112459659576416,PERSISTENT_NOT_ENTITLED,PERSISTENT_NOT_ENTITLED,
183,stage196a_baseline_recurrent,generated_fact_087__none,180,none,0.24990074336528778,0.1503303050994873,-0.09957043826580048,,0.24860350787639618,0.26160677274068195,0.013003264864285768,PERSISTENT_NOT_ENTITLED,PERSISTENT_NOT_ENTITLED,FRAME_REMAINS_SUBTHRESHOLD
183,stage196a_baseline_recurrent,generated_fact_102__none,216,none,0.3964122533798218,0.09363242983818054,-0.30277982354164124,,0.35188085834185284,0.16595670084158579,-0.18592415750026706,PERSISTENT_NOT_ENTITLED,PERSISTENT_NOT_ENTITLED,
183,stage196a_baseline_recurrent,generated_fact_120__none,264,none,0.37331023812294006,0.2420710176229477,-0.13123922049999237,,0.34904031952222186,0.3823394626379013,0.03329914311567944,PERSISTENT_NOT_ENTITLED,UNSTABLE,FRAME_REMAINS_SUBTHRESHOLD
183,stage196a_baseline_recurrent,generated_fact_121__none,276,none,0.321209579706192,0.11438511312007904,-0.20682446658611298,,0.3244359989960988,0.19888280828793845,-0.12555319070816037,PERSISTENT_NOT_ENTITLED,PERSISTENT_NOT_ENTITLED,
183,stage196a_baseline_recurrent,generated_fact_135__none,300,none,0.2867308259010315,0.13822846114635468,-0.14850236475467682,,0.2828803062438965,0.2396721492211024,-0.0432081570227941,PERSISTENT_NOT_ENTITLED,PERSISTENT_NOT_ENTITLED,
183,stage196a_baseline_recurrent,generated_fact_144__none,324,none,0.35900014638900757,0.18713560700416565,-0.17186453938484192,,0.3314237693945567,0.31052730480829877,-0.020896464586257935,PERSISTENT_NOT_ENTITLED,PERSISTENT_NOT_ENTITLED,
183,stage196a_baseline_recurrent,generated_fact_146__none,336,none,0.4561792016029358,0.31398722529411316,-0.14219197630882263,,0.43973540266354877,0.4359776775042216,-0.003757725159327152,PERSISTENT_NOT_ENTITLED,UNSTABLE,
183,stage196a_baseline_recurrent,generated_fact_151__polarity_flip,359,polarity_flip,0.22799786925315857,0.11129757016897202,-0.11670029908418655,,0.23837860922018686,0.19609877715508142,-0.04227983206510544,PERSISTENT_NOT_ENTITLED,PERSISTENT_NOT_ENTITLED,
183,stage196a_baseline_recurrent,generated_fact_158__polarity_flip,395,polarity_flip,0.33812493085861206,0.13562527298927307,-0.202499657869339,,0.3267081081867218,0.21193456649780273,-0.11477354168891907,PERSISTENT_NOT_ENTITLED,PERSISTENT_NOT_ENTITLED,
183,stage196a_baseline_recurrent,generated_fact_172__polarity_flip,443,polarity_flip,0.39276790618896484,0.18120229244232178,-0.21156561374664307,,0.38220999638239544,0.309895525376002,-0.07231447100639343,PERSISTENT_NOT_ENTITLED,UNSTABLE,
183,stage196a_baseline_recurrent,generated_fact_186__polarity_flip,479,polarity_flip,0.38716429471969604,0.0999094545841217,-0.28725484013557434,,0.34447987874348956,0.18069385985533395,-0.1637860188881556,PERSISTENT_NOT_ENTITLED,PERSISTENT_NOT_ENTITLED,
183,stage196a_baseline_recurrent,generated_fact_207__polarity_flip,503,polarity_flip,0.2266474962234497,0.09177516400814056,-0.13487233221530914,,0.22239157060782114,0.15908930202325186,-0.06330226858456928,PERSISTENT_NOT_ENTITLED,PERSISTENT_NOT_ENTITLED,
