seed,dev_position,transition,baseline_mechanism_bucket,intervention_mechanism_bucket,frame_prob_delta,predicate_coverage_prob_delta,sufficiency_prob_delta,entitlement_prob_delta,polarity_margin_delta,frame_logit_delta,positive_energy_delta,negative_energy_delta
180,0,baseline_persistent_to_intervention_persistent,MULTI_LOCAL_CHANNEL_FAILURE,MULTI_LOCAL_CHANNEL_FAILURE,0.10381700000000005,0.011716000000000004,1.5000000000098268e-05,0.028924999999999992,0.08034400000000019,0.44449900000000003,0.04730800000000013,-0.033035999999999996
180,1,neither_persistent,,,0.160781,0.051463000000000036,0.0012569999999999526,0.09870100000000001,0.154439,0.649005,0.12359900000000001,-0.030838999999999978
180,2,neither_persistent,,,0.08658900000000003,-0.004052,0.0014969999999999706,0.009047,0.16882699999999984,0.4102299999999999,0.11627300000000007,-0.05255399999999999
180,3,neither_persistent,,,0.08943600000000002,0.0065910000000000135,2.9000000000056758e-05,0.017668999999999997,0.05802700000000005,0.40171100000000004,0.03151700000000002,-0.026510000000000006
180,4,neither_persistent,,,0.112875,0.022162000000000015,7.099999999993223e-05,0.057227,0.20573799999999975,0.453515,0.1202040000000002,-0.085534
180,5,neither_persistent,,,0.081347,0.013064999999999993,0.001738999999999935,0.019028999999999997,0.15933399999999986,0.46079000000000003,0.11333600000000033,-0.04599800000000001
180,6,neither_persistent,,,0.031002000000000002,-0.002252000000000004,0.04229700000000003,0.003736999999999999,0.534428,0.24317299999999986,0.2586710000000001,-0.2757559999999999
180,7,neither_persistent,,,0.10614600000000002,0.005964999999999998,-0.0005610000000000337,0.019218,0.010615000000000041,0.46767099999999995,0.0003639999999998089,-0.010251000000000003
180,8,neither_persistent,,,0.003361999999999976,0.0009099999999999664,0.00013500000000000057,0.00014700000000000043,-0.130741,0.08747300000000013,-0.005240999999999996,0.12550000000000017
180,9,neither_persistent,,,0.014956999999999998,0.0018380000000000063,6.899999999999962e-05,0.0001449999999999993,-0.057549000000000294,0.20327399999999995,-0.005534999999999998,0.05201400000000023
180,10,neither_persistent,,,-0.0005900000000000002,-0.0011200000000000012,-0.00021900000000000044,-1.0000000000000006e-06,0.11730499999999999,-0.028013000000000066,0.11612599999999995,-0.0011780000000000054
