schema_version,source_pair_id,layer_index,endpoint,estimand,contrast_value
gen4_name_q1_q3_pair_level_contrasts_v1,archive_release,5,POST4_SPEED,DELTA_NAME,-0.06946730613708496
gen4_name_q1_q3_pair_level_contrasts_v1,bridge_opening,5,POST4_SPEED,DELTA_NAME,-0.09508442878723145
gen4_name_q1_q3_pair_level_contrasts_v1,canal_reopening,5,POST4_SPEED,DELTA_NAME,0.09975886344909668
gen4_name_q1_q3_pair_level_contrasts_v1,clinic_expansion,5,POST4_SPEED,DELTA_NAME,-0.08942508697509766
gen4_name_q1_q3_pair_level_contrasts_v1,dam_inspection,5,POST4_SPEED,DELTA_NAME,-0.16714215278625488
gen4_name_q1_q3_pair_level_contrasts_v1,ferry_launch,5,POST4_SPEED,DELTA_NAME,0.02169358730316162
gen4_name_q1_q3_pair_level_contrasts_v1,festival_selection,5,POST4_SPEED,DELTA_NAME,0.1083059310913086
gen4_name_q1_q3_pair_level_contrasts_v1,forest_mapping,5,POST4_SPEED,DELTA_NAME,-0.15539610385894775
gen4_name_q1_q3_pair_level_contrasts_v1,garden_award,5,POST4_SPEED,DELTA_NAME,-0.10894596576690674
gen4_name_q1_q3_pair_level_contrasts_v1,generated_fact_031,5,POST4_SPEED,DELTA_NAME,0.08798658847808838
gen4_name_q1_q3_pair_level_contrasts_v1,generated_fact_032,5,POST4_SPEED,DELTA_NAME,-0.0805732011795044
gen4_name_q1_q3_pair_level_contrasts_v1,generated_fact_033,5,POST4_SPEED,DELTA_NAME,-0.0038412809371948242
gen4_name_q1_q3_pair_level_contrasts_v1,generated_fact_034,5,POST4_SPEED,DELTA_NAME,0.010556578636169434
gen4_name_q1_q3_pair_level_contrasts_v1,generated_fact_035,5,POST4_SPEED,DELTA_NAME,0.015892863273620605
gen4_name_q1_q3_pair_level_contrasts_v1,generated_fact_036,5,POST4_SPEED,DELTA_NAME,0.03953075408935547
gen4_name_q1_q3_pair_level_contrasts_v1,generated_fact_037,5,POST4_SPEED,DELTA_NAME,0.04548978805541992
gen4_name_q1_q3_pair_level_contrasts_v1,generated_fact_038,5,POST4_SPEED,DELTA_NAME,-0.14452481269836426
gen4_name_q1_q3_pair_level_contrasts_v1,generated_fact_039,5,POST4_SPEED,DELTA_NAME,-0.05816793441772461
gen4_name_q1_q3_pair_level_contrasts_v1,generated_fact_040,5,POST4_SPEED,DELTA_NAME,0.10148382186889648
gen4_name_q1_q3_pair_level_contrasts_v1,generated_fact_041,5,POST4_SPEED,DELTA_NAME,0.037569284439086914
gen4_name_q1_q3_pair_level_contrasts_v1,generated_fact_042,5,POST4_SPEED,DELTA_NAME,-0.03988051414489746
gen4_name_q1_q3_pair_level_contrasts_v1,generated_fact_043,5,POST4_SPEED,DELTA_NAME,0.08962023258209229
