seed,stable_row_id,id,source_row_id,dev_position,epoch,transition_role,intervention_type,in_stage196a_baseline_recurrent,in_stage196a_intervention_recurrent,in_stage196a_common_recurrent,in_stage196a_universal_all_six,gold_label,joint_prediction,intervention_prediction,joint_support,intervention_support,support_status_disagreement,joint_frame,intervention_frame,delta_frame,delta_frame_sign,frame_pass_transition,delta_frame_sign_agrees_with_final_margin_delta_sign,joint_predicate,intervention_predicate,delta_predicate,delta_predicate_sign,predicate_pass_transition,delta_predicate_sign_agrees_with_final_margin_delta_sign,joint_sufficiency,intervention_sufficiency,delta_sufficiency,delta_sufficiency_sign,sufficiency_pass_transition,delta_sufficiency_sign_agrees_with_final_margin_delta_sign,joint_polarity,intervention_polarity,delta_polarity,delta_polarity_sign,polarity_pass_transition,delta_polarity_sign_agrees_with_final_margin_delta_sign,joint_entitlement,intervention_entitlement,delta_entitlement,delta_entitlement_sign,entitlement_pass_transition,delta_entitlement_sign_agrees_with_final_margin_delta_sign,joint_support_vs_ne_margin,intervention_support_vs_ne_margin,delta_support_vs_ne_margin,delta_support_vs_ne_margin_sign,composition_pass_transition
184,reef_protection__none,reef_protection__none,reef_protection__none,48,1,harm,none,false,false,false,false,SUPPORT,NOT_ENTITLED,NOT_ENTITLED,false,false,false,0.27475178241729736,0.06188415363430977,-0.2128676287829876,negative,STABLE_FAIL,true,0.6459789872169495,0.6726930737495422,0.026714086532592773,positive,STABLE_PASS,false,0.9643350839614868,0.9359729290008545,-0.028362154960632324,negative,STABLE_PASS,true,-0.6563667058944702,-0.2422473430633545,0.4141193628311157,positive,STABLE_FAIL,false,0.17115391790866852,0.03896365687251091,-0.1321902610361576,negative,STABLE_FAIL,true,-0.652978926897049,-0.9263990521430969,-0.273420125246048,negative,STABLE_FAIL
184,reef_protection__none,reef_protection__none,reef_protection__none,48,2,harm,none,false,false,false,false,SUPPORT,NOT_ENTITLED,NOT_ENTITLED,false,false,false,0.4385070204734802,0.36379846930503845,-0.07470855116844177,negative,STABLE_FAIL,true,0.3264816999435425,0.42160511016845703,0.09512341022491455,positive,STABLE_FAIL,false,0.9442778825759888,0.951090931892395,0.00681304931640625,positive,STABLE_PASS,false,0.4566553831100464,-0.3556596040725708,-0.8123149871826172,negative,PASS_TO_FAIL,true,0.1351870894432068,0.1458776593208313,0.010690569877624512,positive,STABLE_FAIL,false,-0.6271679550409317,-0.6461372822523117,-0.018969327211380005,negative,STABLE_FAIL
184,reef_protection__none,reef_protection__none,reef_protection__none,48,3,harm,none,false,false,false,false,SUPPORT,NOT_ENTITLED,SUPPORT,false,true,true,0.43196356296539307,0.7651307582855225,0.3331671953201294,positive,FAIL_TO_PASS,true,0.4561068117618561,0.47376659512519836,0.017659783363342285,positive,STABLE_FAIL,true,0.8244773149490356,0.9384030103683472,0.11392569541931152,positive,STABLE_PASS,true,-0.2952159643173218,0.7629953622817993,1.058211326599121,positive,FAIL_TO_PASS,true,0.16243977844715118,0.3401648998260498,0.17772512137889862,positive,STABLE_FAIL,true,-0.5525598227977753,0.04506617784500122,0.5976260006427765,positive,FAIL_TO_PASS
184,reef_protection__none,reef_protection__none,reef_protection__none,48,4,harm,none,false,false,false,false,SUPPORT,NOT_ENTITLED,NOT_ENTITLED,false,false,false,0.31151336431503296,0.6566805839538574,0.34516721963882446,positive,FAIL_TO_PASS,true,0.5163567066192627,0.3354291617870331,-0.18092754483222961,negative,PASS_TO_FAIL,false,0.914970338344574,0.8842729926109314,-0.030697345733642578,negative,STABLE_PASS,false,0.2885230779647827,1.0964456796646118,0.8079226016998291,positive,STABLE_PASS,true,0.14717482030391693,0.1947786509990692,0.04760383069515228,positive,STABLE_FAIL,true,-0.5563495457172394,-0.38003048300743103,0.17631906270980835,positive,STABLE_FAIL
184,reef_protection__none,reef_protection__none,reef_protection__none,48,5,harm,none,false,false,false,false,SUPPORT,NOT_ENTITLED,NOT_ENTITLED,false,false,false,0.2379048764705658,0.4262795150279999,0.18837463855743408,positive,STABLE_FAIL,true,0.3954178988933563,0.296122282743454,-0.09929561614990234,negative,STABLE_FAIL,false,0.973192036151886,0.8438767790794373,-0.12931525707244873,negative,STABLE_PASS,false,0.8921436071395874,0.858086347579956,-0.03405725955963135,negative,STABLE_PASS,false,0.09154997020959854,0.106523297727108,0.01497332751750946,positive,STABLE_FAIL,true,-0.7034048140048981,-0.6657310128211975,0.03767380118370056,positive,STABLE_FAIL
184,reef_protection__none,reef_protection__none,reef_protection__none,48,6,harm,none,false,false,false,false,SUPPORT,NOT_ENTITLED,NOT_ENTITLED,false,false,false,0.31262779235839844,0.29469892382621765,-0.017928868532180786,negative,STABLE_FAIL,true,0.3413657248020172,0.3933470845222473,0.0519813597202301,positive,STABLE_FAIL,false,0.9828445911407471,0.9144728183746338,-0.06837177276611328,negative,STABLE_PASS,true,0.706807017326355,0.6956263780593872,-0.011180639266967773,negative,STABLE_PASS,true,0.10488957911729813,0.1060047447681427,0.001115165650844574,positive,STABLE_FAIL,false,-0.6532617509365082,-0.6598034799098969,-0.006541728973388672,negative,STABLE_FAIL
184,reef_protection__none,reef_protection__none,reef_protection__none,48,7,harm,none,false,false,false,false,SUPPORT,NOT_ENTITLED,NOT_ENTITLED,false,false,false,0.3022692799568176,0.2832028567790985,-0.019066423177719116,negative,STABLE_FAIL,false,0.33617979288101196,0.5347943305969238,0.19861453771591187,positive,FAIL_TO_PASS,true,0.9859326481819153,0.9629818201065063,-0.022950828075408936,negative,STABLE_PASS,false,1.7618114948272705,0.5381748676300049,-1.2236366271972656,negative,STABLE_PASS,false,0.10018733888864517,0.14584869146347046,0.04566135257482529,positive,STABLE_FAIL,true,-0.6507440805435181,-0.5155157148838043,0.13522836565971375,positive,STABLE_FAIL
184,reef_protection__none,reef_protection__none,reef_protection__none,48,8,harm,none,false,false,false,false,SUPPORT,NOT_ENTITLED,NOT_ENTITLED,false,false,false,0.27790048718452454,0.3329814374446869,0.055080950260162354,positive,STABLE_FAIL,true,0.30798131227493286,0.5263644456863403,0.21838313341140747,positive,FAIL_TO_PASS,true,0.9862418174743652,0.9792491793632507,-0.006992638111114502,negative,STABLE_PASS,false,2.1353883743286133,0.9524842500686646,-1.1829041242599487,negative,STABLE_PASS,false,0.08441062271595001,0.17163260281085968,0.08722198009490967,positive,STABLE_FAIL,true,-0.7175572216510773,-0.39442259073257446,0.3231346309185028,positive,STABLE_FAIL
184,reef_protection__none,reef_protection__none,reef_protection__none,48,9,harm,none,false,false,false,false,SUPPORT,NOT_ENTITLED,NOT_ENTITLED,false,false,false,0.33967673778533936,0.41840264201164246,0.0787259042263031,positive,STABLE_FAIL,true,0.3193509876728058,0.4124653935432434,0.09311440587043762,positive,STABLE_FAIL,true,0.9881895780563354,0.9841960668563843,-0.003993511199951172,negative,STABLE_PASS,false,2.2957727909088135,1.6699955463409424,-0.6257772445678711,negative,STABLE_PASS,false,0.10719495266675949,0.1698492169380188,0.06265426427125931,positive,STABLE_FAIL,true,-0.6328848004341125,-0.3759807050228119,0.25690409541130066,positive,STABLE_FAIL
184,reef_protection__none,reef_protection__none,reef_protection__none,48,10,harm,none,false,false,false,false,SUPPORT,NOT_ENTITLED,NOT_ENTITLED,false,false,false,0.5824170708656311,0.5012217164039612,-0.08119535446166992,negative,STABLE_PASS,true,0.45344141125679016,0.2872842252254486,-0.16615718603134155,negative,STABLE_FAIL,true,0.9908475875854492,0.9850457310676575,-0.005801856517791748,negative,STABLE_PASS,true,2.4637434482574463,2.0847976207733154,-0.37894582748413086,negative,STABLE_PASS,true,0.2616749405860901,0.14183978736400604,-0.11983515322208405,negative,STABLE_FAIL,true,-0.015190303325653076,-0.4832194447517395,-0.4680291414260864,negative,STABLE_FAIL
