row_type,seed,intervention_type,intervention_group,target,score,direction_interpretation,n,gold_SUPPORT,gold_REFUTE,gold_NOT_ENTITLED,pred_SUPPORT,pred_REFUTE,pred_NOT_ENTITLED,classifier_entitled,classifier_error,false_entitled,false_support,false_refute,opportunity_rate,false_entitled_rate,not_entitled_recall,entitled_accuracy,mean_frame_prob,mean_predicate_coverage_prob,mean_sufficiency_prob,mean_entitlement_prob,mean_polarity_margin,mean_frame_fail_score,mean_predicate_fail_score,mean_sufficiency_fail_score,mean_entitlement_fail_score,mean_polarity_weak_score,frame_prob_state,predicate_coverage_prob_state,sufficiency_prob_state,entitlement_prob_state,positives,negatives,mean_score_positive,mean_score_negative,mean_pass_probability_positive,raw_auc,expected_direction_auc,inverted_auc,auc_defined
opportunity,1,entity_swap,match_perturbed,not_applicable,not_applicable,not_applicable,60,0,0,60,4,0,56,4,4,4,4,0,0.06666666666666667,0.06666666666666667,0.9333333333333333,0.0,0.04127311899307339,0.07724596496943074,0.9988613307476044,0.036921210253245816,4.0066433310508724,0.9587268810069266,0.9227540350305693,0.00113866925239563,0.9630787897467542,-4.0066433310508724,correct_rejection,correct_rejection,confidently_inverted,correct_rejection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
opportunity,1,event_swap,match_perturbed,not_applicable,not_applicable,not_applicable,60,0,0,60,6,0,54,6,6,6,6,0,0.1,0.1,0.9,0.0,0.0664623973435179,0.10415468834689819,0.9988591770331064,0.05796177917838842,4.45388503074646,0.9335376026564821,0.8958453116531018,0.001140822966893514,0.9420382208216116,-4.45388503074646,correct_rejection,correct_rejection,confidently_inverted,correct_rejection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
opportunity,1,evidence_deletion,presence_removed,not_applicable,not_applicable,not_applicable,60,0,0,60,0,0,60,0,0,0,0,0,0.0,0.0,1.0,0.0,0.9909331291913986,0.994225353995959,0.00047900194428317867,0.00047203936361862967,-4.347240249315898,0.00906687080860138,0.005774646004041036,0.9995209980557168,0.9995279606363814,4.347240249315898,no_opportunity,no_opportunity,no_opportunity,no_opportunity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
opportunity,1,evidence_truncation,presence_removed,not_applicable,not_applicable,not_applicable,60,0,0,60,0,0,60,0,0,0,0,0,0.0,0.0,1.0,0.0,0.9809856802225113,0.9949594298998515,0.0005183651601934496,0.000505572834420794,-4.290451407432556,0.019014319777488707,0.005040570100148519,0.9994816348398066,0.9994944271655792,4.290451407432556,no_opportunity,no_opportunity,no_opportunity,no_opportunity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
opportunity,1,irrelevant_evidence,presence_removed,not_applicable,not_applicable,not_applicable,60,0,0,60,0,0,60,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0018860000069253146,0.0013967489707283677,0.0005734684537552919,1.4576483150137894e-09,0.08632259964942932,0.9981139999930747,0.9986032510292716,0.9994265315462447,0.9999999985423517,-0.08632259964942932,no_opportunity,no_opportunity,no_opportunity,no_opportunity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
opportunity,1,location_swap,match_perturbed,not_applicable,not_applicable,not_applicable,60,0,0,60,7,0,53,7,7,7,7,0,0.11666666666666667,0.11666666666666667,0.8833333333333333,0.0,0.09661105143216749,0.9714128077030182,0.9957002768913905,0.0936324119286534,4.738410166899363,0.9033889485678325,0.02858719229698181,0.004299723108609517,0.9063675880713465,-4.738410166899363,correct_rejection,confidently_inverted,confidently_inverted,correct_rejection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
opportunity,1,none,controls,not_applicable,not_applicable,not_applicable,60,30,30,0,30,30,0,60,0,0,0,0,1.0,0.0,0.0,1.0,0.9367375721534094,0.9944635172684987,0.9899522225062053,0.9222054074207942,-0.30191590785980227,0.06326242784659068,0.005536482731501261,0.01004777749379476,0.07779459257920583,0.30191590785980227,no_opportunity,no_opportunity,no_opportunity,no_opportunity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
opportunity,1,paraphrase,controls,not_applicable,not_applicable,not_applicable,60,30,30,0,30,30,0,60,0,0,0,0,1.0,0.0,0.0,1.0,0.9391612241665522,0.994520166516304,0.9899327377478282,0.9246067742506663,-0.32837963898976646,0.060838775833447774,0.005479833483695984,0.010067262252171834,0.0753932257493337,0.32837963898976646,no_opportunity,no_opportunity,no_opportunity,no_opportunity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
opportunity,1,polarity_flip,controls,not_applicable,not_applicable,not_applicable,60,30,30,0,30,30,0,60,0,0,0,0,1.0,0.0,0.0,1.0,0.9351616352796555,0.9954536517461141,0.9899485111236572,0.9215512255827586,-0.29555535316467285,0.06483836472034454,0.004546348253885905,0.010051488876342773,0.07844877441724142,0.29555535316467285,no_opportunity,no_opportunity,no_opportunity,no_opportunity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
opportunity,1,predicate_swap,match_perturbed,not_applicable,not_applicable,not_applicable,60,0,0,60,1,0,59,1,1,1,1,0,0.016666666666666666,0.016666666666666666,0.9833333333333333,0.0,0.9322119683027268,0.023164169521381457,0.9980514278014501,0.020958533235049495,4.662893986701965,0.06778803169727325,0.9768358304786185,0.0019485721985499063,0.9790414667649505,-4.662893986701965,confidently_inverted,correct_rejection,confidently_inverted,correct_rejection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
opportunity,1,role_swap,match_perturbed,not_applicable,not_applicable,not_applicable,60,0,0,60,5,0,55,5,5,5,5,0,0.08333333333333333,0.08333333333333333,0.9166666666666666,0.0,0.08325726239321132,0.9608146846294403,0.9960501422484715,0.06813173522241414,3.7834610044956207,0.9167427376067887,0.03918531537055969,0.003949857751528422,0.9318682647775859,-3.7834610044956207,correct_rejection,confidently_inverted,confidently_inverted,correct_rejection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
opportunity,1,time_swap,match_perturbed,not_applicable,not_applicable,not_applicable,60,0,0,60,60,0,0,60,60,60,60,0,1.0,1.0,0.0,0.0,0.9260364840428035,0.9940915207068125,0.9912111987670262,0.9124888132015864,5.41220494111379,0.07396351595719655,0.005908479293187459,0.008788801232973735,0.08751118679841359,-5.41220494111379,confidently_inverted,confidently_inverted,confidently_inverted,confidently_inverted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
opportunity,1,title_name_swap,match_perturbed,not_applicable,not_applicable,not_applicable,60,0,0,60,1,0,59,1,1,1,1,0,0.016666666666666666,0.016666666666666666,0.9833333333333333,0.0,0.01726358119728199,0.0581033514929004,0.9989102562268575,0.01327355329130834,3.949893037478129,0.982736418802718,0.9418966485070996,0.0010897437731424966,0.9867264467086917,-3.949893037478129,correct_rejection,correct_rejection,confidently_inverted,correct_rejection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
signal,1,entity_swap,match_perturbed,classifier_error,frame_fail_score,inverted_low_confidence,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_applicable,not_applicable,not_applicable,not_applicable,4,56,0.4358324408531189,0.9960764838750558,0.5641675591468811,0.0,0.0,1.0,1
signal,1,entity_swap,match_perturbed,classifier_error,predicate_fail_score,confidently_inverted,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_applicable,not_applicable,not_applicable,not_applicable,4,56,0.0179835706949234,0.9873804967688297,0.9820164293050766,0.0,0.0,1.0,1
signal,1,entity_swap,match_perturbed,classifier_error,sufficiency_fail_score,expected_positive,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_applicable,not_applicable,not_applicable,not_applicable,4,56,0.0062635838985443115,0.0007726039205278669,0.9937364161014557,1.0,1.0,0.0,1
signal,1,entity_swap,match_perturbed,classifier_error,entitlement_fail_score,inverted_low_confidence,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_applicable,not_applicable,not_applicable,not_applicable,4,56,0.44905727356672287,0.9997946123310422,0.5509427264332771,0.0,0.0,1.0,1
signal,1,entity_swap,match_perturbed,classifier_error,polarity_weak_score,inverted_low_confidence,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_applicable,not_applicable,not_applicable,not_applicable,4,56,-5.306894063949585,-3.9137682787009647,0.0,0.0,0.0,1.0,1
signal,1,entity_swap,match_perturbed,false_entitled,frame_fail_score,inverted_low_confidence,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_applicable,not_applicable,not_applicable,not_applicable,4,56,0.4358324408531189,0.9960764838750558,0.5641675591468811,0.0,0.0,1.0,1
signal,1,entity_swap,match_perturbed,false_entitled,predicate_fail_score,confidently_inverted,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_applicable,not_applicable,not_applicable,not_applicable,4,56,0.0179835706949234,0.9873804967688297,0.9820164293050766,0.0,0.0,1.0,1
